Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
Klaeng12,Klaeng12,OCPP/Klaeng12/heartbeat,OCPP/Klaeng12/heartbeatPI5,OCPP/Klaeng12/meter,OCPP/Klaeng12/PowerModule,Klaeng12,2,OCPP/Klaeng12/PLC,Klaeng12,Klaeng12,Klaeng12,Klaeng12,Klaeng12,2,3,Klaeng12/RPM
Klong4,Klong4,OCPP/PT_Klong4/heartbeat,OCPP/Klong4/heartbeatPI5,OCPP/PT_Klong4/meter,OCPP/Klong4/PowerModule,Klong4,2,OCPP/Klong4/PLC,Klong4,Klong4,Klong4,Klong4,Klong4,2,3,Klong4/RPM
Klongluang10,Klongluang10,OCPP/PT100_Klongluang10_DC_1/heartbeat,OCPP/Klongluang10/heartbeatPI5,OCPP/PT100_Klongluang10_DC_1/meter,OCPP/Klongluang10/PowerModule,KhlongLueng10,2,OCPP/Klongluang10/PLC,Klongluang10,Klongluang10,Klongluang10,Klongluang10,Klongluang10,2,3,KhlongLueng10/RPM
Klongluang3,Klongluang3,OCPP/PT100_Klongluang3/heartbeat,OCPP/Klongluang3/heartbeatPI5,OCPP/PT100_Klongluang3/meter,OCPP/Klongluang3/PowerModule,Luang3,2,OCPP/Klongluang3/PLC,Klongluang3,Klongluang3,Klongluang3,Klongluang3,Klongluang3,2,3,Klongluang3/RPM
Klongluang4,Klongluang4,OCPP/PT100_Klongluang4/heartbeat,OCPP/Klongluang4/heartbeatPI5,OCPP/PT100_Klongluang4/meter,OCPP/Klongluang4/PowerModule,Lung4,2,OCPP/Klongluang4/PLC,Klongluang4,Klongluang4,Klongluang4,Klongluang4,Klongluang4,2,3,Klongluang4/RPM
KrokPhra2,KrokPhra2,OCPP/PT100_KrokPhra2/heartbeat,OCPP/KrokPhra2/heartbeatPI5,OCPP/PT100_KrokPhra2/meter,OCPP/KrokPhra2/PowerModule,KrokPhra2,2,OCPP/KrokPhra2/PLC,KrokPhra2,KrokPhra2,KrokPhra2,KrokPhra2,KrokPhra2,2,3,KrokPhra2/RPM
KrungthepKreetha2,KrungthepKreetha2,OCPP/KrungthepKreetha2/heartbeat,OCPP/KrungthepKreetha2/heartbeatPI5,OCPP/KrungthepKreetha2/meter,OCPP/KrungthepKreetha2/PowerModule,Kitha2,2,OCPP/KrungthepKreetha2/PLC,KrungthepKreetha2,KrungthepKreetha2,KrungthepKreetha2,KrungthepKreetha2,Kreetha2,2,3,KrungthepKreetha2/RPM
KuiBuri,KuiBuri,OCPP/KuiBuri/heartbeat,OCPP/KuiBuri/heartbeatPI5,OCPP/KuiBuri/meter,OCPP/KuiBuri/PowerModule,KuiBuri,2,OCPP/KuiBuri/PLC,KuiBuri,KuiBuri,KuiBuri,KuiBuri,KuiBuri,2,3,KuiBuri/RPM
KungPhatthana,KungPhatthana,OCPP/KungPhatthana/heartbeat,OCPP/KungPhatthana/heartbeatPI5,OCPP/KungPhatthana/meter,OCPP/KungPhatthana/PowerModule,KungPhatthana,2,OCPP/KungPhatthana/PLC,KungPhatthana,KungPhatthana,KungPhatthana,KungPhatthana,KungPhatthana,2,3,KungPhatthana/RPM
Lamae3,Lamae3,OCPP/Elex_PT_Lamae3_1/heartbeat,OCPP/Lamae3/heartbeatPI5,OCPP/Elex_PT_Lamae3_1/meter,OCPP/Lamae3/PowerModule,Lamae3,2,OCPP/Lamae3/PLC,Lamae3,Lamae3,Lamae3,Lamae3,Lamae3,2,3,Lamae3/RPM
LamLukKa8,LamLukKa8,OCPP/Elex_PT_LamLukKa8_1/heartbeat,OCPP/LamLukKa8/heartbeatPI5,OCPP/Elex_PT_LamLukKa8_1/meter,OCPP/LamLukKa8/PowerModule,LamLukKa8,2,OCPP/LamLukKa8/PLC,LatLumKaeo6,LamLukKa8,LamLukKa8,LamLukKa8,LamLukKa8,2,3,LamLukKa8/RPM
lamphun2,lamphun2,OCPP/lamphun2/heartbeat,OCPP/lamphun2/heartbeatPI5,OCPP/lamphun2/meter,OCPP/lamphun2/PowerModule,Lamphun2,2,OCPP/lamphun2/PLC,lamphun2,lamphun2,Lamphun2,lamphun2,lamphun2,2,3,Lamphun2/RPM
